id,account_id,created_at,amount,quantity,status,region,channel,score,note
1,acct_1,2026-05-01T12:00:00Z,0.00,1,new,na,web,0,"plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell"
2,acct_2,2026-05-02T12:01:00Z,13.37,2,active,eu,mobile,0.7,"plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell"
3,acct_3,2026-05-03T12:02:00Z,26.74,3,paused,apac,partner,1.4,"plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell"
4,acct_4,2026-05-04T12:03:00Z,40.11,4,closed,latam,retail,2.1,"plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell"
5,acct_5,2026-05-05T12:04:00Z,53.48,5,archived,mea,web,2.8,"plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell"
6,acct_6,2026-05-06T12:05:00Z,66.85,6,needs_review,na,mobile,3.5,"plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell"
7,acct_7,2026-05-07T12:06:00Z,80.22,7,new,eu,partner,4.2,"plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell"
8,acct_8,2026-05-08T12:07:00Z,93.59,8,active,apac,retail,4.9,"plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell"
9,acct_9,2026-05-09T12:08:00Z,106.96,9,paused,latam,web,5.6,"plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell"
10,acct_10,2026-05-10T12:09:00Z,120.33,10,closed,mea,mobile,6.3,"plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell"
11,acct_11,2026-05-11T12:10:00Z,133.70,11,archived,na,partner,7,"plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell"
12,acct_12,2026-05-12T12:11:00Z,147.07,12,needs_review,eu,retail,7.7,"plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell"
13,acct_13,2026-05-13T12:12:00Z,160.44,13,new,apac,web,8.4,"plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell | line one
line two | escaped """"quote"""" inside field | plain note | contains comma, inside quoted cell"
