id,account_id,created_at,amount,quantity,status,region,channel,score,note
1,acct_1,2026-05-01T12:00:00Z,0.00,1,new,na,web,0,plain note
2,acct_2,2026-05-02T12:01:00Z,13.37,2,active,eu,mobile,0.7,"contains comma, here"
3,acct_3,2026-05-03T12:02:00Z,26.74,3,paused,apac,partner,1.4,"line one
line two"
4,acct_4,2026-05-04T12:03:00Z,40.11,4,closed,latam,retail,2.1,"escaped ""quote"""
5,acct_5,2026-05-05T12:04:00Z,53.48,5,archived,mea,web,2.8,unicode café 東京
6,acct_6,2026-05-06T12:05:00Z,66.85,6,needs_review,na,mobile,3.5,plain note
7,acct_7,2026-05-07T12:06:00Z,80.22,7,new,eu,partner,4.2,"contains comma, here"
8,acct_8,2026-05-08T12:07:00Z,93.59,8,active,apac,retail,4.9,"line one
line two"
9,acct_9,2026-05-09T12:08:00Z,106.96,9,paused,latam,web,5.6,"escaped ""quote"""
10,acct_10,2026-05-10T12:09:00Z,120.33,10,closed,mea,mobile,6.3,unicode café 東京
11,acct_11,2026-05-11T12:10:00Z,133.70,11,archived,na,partner,7,plain note
12,acct_12,2026-05-12T12:11:00Z,147.07,12,needs_review,eu,retail,7.7,"contains comma, here"
13,acct_13,2026-05-13T12:12:00Z,160.44,13,new,apac,web,8.4,"line one
line two"
14,acct_14,2026-05-14T12:13:00Z,173.81,14,active,latam,mobile,9.1,"escaped ""quote"""
15,acct_15,2026-05-15T12:14:00Z,187.18,15,paused,mea,partner,9.8,unicode café 東京
16,acct_16,2026-05-16T12:15:00Z,200.55,16,closed,na,retail,10.5,plain note
17,acct_17,2026-05-17T12:16:00Z,213.92,17,archived,eu,web,11.2,"contains comma, here"
18,acct_18,2026-05-18T12:17:00Z,227.29,1,needs_review,apac,mobile,11.9,"line one
line two"
19,acct_19,2026-05-19T12:18:00Z,240.66,2,new,latam,partner,12.6,"escaped ""quote"""
20,acct_20,2026-05-20T12:19:00Z,254.03,3,active,mea,retail,13.3,unicode café 東京
21,acct_21,2026-05-21T12:20:00Z,267.40,4,paused,na,web,14,plain note
22,acct_22,2026-05-22T12:21:00Z,280.77,5,closed,eu,mobile,14.7,"contains comma, here"
23,acct_23,2026-05-23T12:22:00Z,294.14,6,archived,apac,partner,15.4,"line one
line two"
24,acct_24,2026-05-24T12:23:00Z,307.51,7,needs_review,latam,retail,16.1,"escaped ""quote"""
25,acct_25,2026-05-25T12:24:00Z,320.88,8,new,mea,web,16.8,unicode café 東京
26,acct_26,2026-05-26T12:25:00Z,334.25,9,active,na,mobile,17.5,plain note
27,acct_27,2026-05-27T12:26:00Z,347.62,10,paused,eu,partner,18.2,"contains comma, here"
28,acct_28,2026-05-01T12:27:00Z,360.99,11,closed,apac,retail,18.9,"line one
line two"
29,acct_29,2026-05-02T12:28:00Z,374.36,12,archived,latam,web,19.6,"escaped ""quote"""
30,acct_30,2026-05-03T12:29:00Z,387.73,13,needs_review,mea,mobile,20.3,unicode café 東京
31,acct_31,2026-05-04T12:30:00Z,401.10,14,new,na,partner,21,plain note
32,acct_32,2026-05-05T12:31:00Z,414.47,15,active,eu,retail,21.7,"contains comma, here"
33,acct_33,2026-05-06T12:32:00Z,427.84,16,paused,apac,web,22.4,"line one
line two"
34,acct_34,2026-05-07T12:33:00Z,441.21,17,closed,latam,mobile,23.1,"escaped ""quote"""
35,acct_35,2026-05-08T12:34:00Z,454.58,1,archived,mea,partner,23.8,unicode café 東京
36,acct_36,2026-05-09T12:35:00Z,467.95,2,needs_review,na,retail,24.5,plain note
37,acct_37,2026-05-10T12:36:00Z,481.32,3,new,eu,web,25.2,"contains comma, here"
38,acct_38,2026-05-11T12:37:00Z,494.69,4,active,apac,mobile,25.9,"line one
line two"
39,acct_39,2026-05-12T12:38:00Z,508.06,5,paused,latam,partner,26.6,"escaped ""quote"""
40,acct_40,2026-05-13T12:39:00Z,521.43,6,closed,mea,retail,27.3,unicode café 東京
41,acct_41,2026-05-14T12:40:00Z,534.80,7,archived,na,web,28,plain note
42,acct_42,2026-05-15T12:41:00Z,548.17,8,needs_review,eu,mobile,28.7,"contains comma, here"
43,acct_43,2026-05-16T12:42:00Z,561.54,9,new,apac,partner,29.4,"line one
line two"
44,acct_44,2026-05-17T12:43:00Z,574.91,10,active,latam,retail,30.1,"escaped ""quote"""
45,acct_45,2026-05-18T12:44:00Z,588.28,11,paused,mea,web,30.8,unicode café 東京
46,acct_46,2026-05-19T12:45:00Z,601.65,12,closed,na,mobile,31.5,plain note
47,acct_47,2026-05-20T12:46:00Z,615.02,13,archived,eu,partner,32.2,"contains comma, here"
48,acct_48,2026-05-21T12:47:00Z,628.39,14,needs_review,apac,retail,32.9,"line one
line two"
49,acct_49,2026-05-22T12:48:00Z,641.76,15,new,latam,web,33.6,"escaped ""quote"""
50,acct_50,2026-05-23T12:49:00Z,655.13,16,active,mea,mobile,34.3,unicode café 東京
51,acct_51,2026-05-24T12:50:00Z,668.50,17,paused,na,partner,35,plain note
52,acct_52,2026-05-25T12:51:00Z,681.87,1,closed,eu,retail,35.7,"contains comma, here"
53,acct_53,2026-05-26T12:52:00Z,695.24,2,archived,apac,web,36.4,"line one
line two"
54,acct_54,2026-05-27T12:53:00Z,708.61,3,needs_review,latam,mobile,37.1,"escaped ""quote"""
55,acct_55,2026-05-01T12:54:00Z,721.98,4,new,mea,partner,37.8,unicode café 東京
56,acct_56,2026-05-02T12:55:00Z,735.35,5,active,na,retail,38.5,plain note
57,acct_57,2026-05-03T12:56:00Z,748.72,6,paused,eu,web,39.2,"contains comma, here"
58,acct_58,2026-05-04T12:57:00Z,762.09,7,closed,apac,mobile,39.9,"line one
line two"
59,acct_59,2026-05-05T12:58:00Z,775.46,8,archived,latam,partner,40.6,"escaped ""quote"""
60,acct_60,2026-05-06T12:59:00Z,788.83,9,needs_review,mea,retail,41.3,unicode café 東京
61,acct_61,2026-05-07T12:00:00Z,802.20,10,new,na,web,42,plain note
62,acct_62,2026-05-08T12:01:00Z,815.57,11,active,eu,mobile,42.7,"contains comma, here"
63,acct_63,2026-05-09T12:02:00Z,828.94,12,paused,apac,partner,43.4,"line one
line two"
64,acct_64,2026-05-10T12:03:00Z,842.31,13,closed,latam,retail,44.1,"escaped ""quote"""
65,acct_65,2026-05-11T12:04:00Z,855.68,14,archived,mea,web,44.8,unicode café 東京
66,acct_66,2026-05-12T12:05:00Z,869.05,15,needs_review,na,mobile,45.5,plain note
67,acct_67,2026-05-13T12:06:00Z,882.42,16,new,eu,partner,46.2,"contains comma, here"
68,acct_68,2026-05-14T12:07:00Z,895.79,17,active,apac,retail,46.9,"line one
line two"
69,acct_69,2026-05-15T12:08:00Z,909.16,1,paused,latam,web,47.6,"escaped ""quote"""
70,acct_70,2026-05-16T12:09:00Z,922.53,2,closed,mea,mobile,48.3,unicode café 東京
71,acct_71,2026-05-17T12:10:00Z,935.90,3,archived,na,partner,49,plain note
72,acct_72,2026-05-18T12:11:00Z,949.27,4,needs_review,eu,retail,49.7,"contains comma, here"
73,acct_73,2026-05-19T12:12:00Z,962.64,5,new,apac,web,50.4,"line one
line two"
74,acct_74,2026-05-20T12:13:00Z,976.01,6,active,latam,mobile,51.1,"escaped ""quote"""
75,acct_75,2026-05-21T12:14:00Z,989.38,7,paused,mea,partner,51.8,unicode café 東京
76,acct_76,2026-05-22T12:15:00Z,1002.75,8,closed,na,retail,52.5,plain note
77,acct_77,2026-05-23T12:16:00Z,1016.12,9,archived,eu,web,53.2,"contains comma, here"
78,acct_78,2026-05-24T12:17:00Z,1029.49,10,needs_review,apac,mobile,53.9,"line one
line two"
79,acct_79,2026-05-25T12:18:00Z,1042.86,11,new,latam,partner,54.6,"escaped ""quote"""
80,acct_80,2026-05-26T12:19:00Z,1056.23,12,active,mea,retail,55.3,unicode café 東京
81,acct_81,2026-05-27T12:20:00Z,1069.60,13,paused,na,web,56,plain note
82,acct_82,2026-05-01T12:21:00Z,1082.97,14,closed,eu,mobile,56.7,"contains comma, here"
83,acct_83,2026-05-02T12:22:00Z,1096.34,15,archived,apac,partner,57.4,"line one
line two"
84,acct_84,2026-05-03T12:23:00Z,1109.71,16,needs_review,latam,retail,58.1,"escaped ""quote"""
85,acct_85,2026-05-04T12:24:00Z,1123.08,17,new,mea,web,58.8,unicode café 東京
86,acct_86,2026-05-05T12:25:00Z,1136.45,1,active,na,mobile,59.5,plain note
87,acct_87,2026-05-06T12:26:00Z,1149.82,2,paused,eu,partner,60.2,"contains comma, here"
88,acct_88,2026-05-07T12:27:00Z,1163.19,3,closed,apac,retail,60.9,"line one
line two"
89,acct_89,2026-05-08T12:28:00Z,1176.56,4,archived,latam,web,61.6,"escaped ""quote"""
90,acct_90,2026-05-09T12:29:00Z,1189.93,5,needs_review,mea,mobile,62.3,unicode café 東京
91,acct_91,2026-05-10T12:30:00Z,1203.30,6,new,na,partner,63,plain note
92,acct_92,2026-05-11T12:31:00Z,1216.67,7,active,eu,retail,63.7,"contains comma, here"
93,acct_93,2026-05-12T12:32:00Z,1230.04,8,paused,apac,web,64.4,"line one
line two"
94,acct_94,2026-05-13T12:33:00Z,1243.41,9,closed,latam,mobile,65.1,"escaped ""quote"""
95,acct_95,2026-05-14T12:34:00Z,1256.78,10,archived,mea,partner,65.8,unicode café 東京
96,acct_96,2026-05-15T12:35:00Z,1270.15,11,needs_review,na,retail,66.5,plain note
97,acct_97,2026-05-16T12:36:00Z,1283.52,12,new,eu,web,67.2,"contains comma, here"
98,acct_98,2026-05-17T12:37:00Z,1296.89,13,active,apac,mobile,67.9,"line one
line two"
99,acct_99,2026-05-18T12:38:00Z,1310.26,14,paused,latam,partner,68.6,"escaped ""quote"""
100,acct_100,2026-05-19T12:39:00Z,1323.63,15,closed,mea,retail,69.3,unicode café 東京
101,acct_101,2026-05-20T12:40:00Z,1337.00,16,archived,na,web,70,plain note
102,acct_102,2026-05-21T12:41:00Z,1350.37,17,needs_review,eu,mobile,70.7,"contains comma, here"
103,acct_103,2026-05-22T12:42:00Z,1363.74,1,new,apac,partner,71.4,"line one
line two"
104,acct_104,2026-05-23T12:43:00Z,1377.11,2,active,latam,retail,72.1,"escaped ""quote"""
105,acct_105,2026-05-24T12:44:00Z,1390.48,3,paused,mea,web,72.8,unicode café 東京
106,acct_106,2026-05-25T12:45:00Z,1403.85,4,closed,na,mobile,73.5,plain note
107,acct_107,2026-05-26T12:46:00Z,1417.22,5,archived,eu,partner,74.2,"contains comma, here"
108,acct_108,2026-05-27T12:47:00Z,1430.59,6,needs_review,apac,retail,74.9,"line one
line two"
109,acct_109,2026-05-01T12:48:00Z,1443.96,7,new,latam,web,75.6,"escaped ""quote"""
110,acct_110,2026-05-02T12:49:00Z,1457.33,8,active,mea,mobile,76.3,unicode café 東京
111,acct_111,2026-05-03T12:50:00Z,1470.70,9,paused,na,partner,77,plain note
112,acct_112,2026-05-04T12:51:00Z,1484.07,10,closed,eu,retail,77.7,"contains comma, here"
113,acct_113,2026-05-05T12:52:00Z,1497.44,11,archived,apac,web,78.4,"line one
line two"
114,acct_114,2026-05-06T12:53:00Z,1510.81,12,needs_review,latam,mobile,79.1,"escaped ""quote"""
115,acct_115,2026-05-07T12:54:00Z,1524.18,13,new,mea,partner,79.8,unicode café 東京
116,acct_116,2026-05-08T12:55:00Z,1537.55,14,active,na,retail,80.5,plain note
117,acct_117,2026-05-09T12:56:00Z,1550.92,15,paused,eu,web,81.2,"contains comma, here"
118,acct_118,2026-05-10T12:57:00Z,1564.29,16,closed,apac,mobile,81.9,"line one
line two"
119,acct_119,2026-05-11T12:58:00Z,1577.66,17,archived,latam,partner,82.6,"escaped ""quote"""
120,acct_120,2026-05-12T12:59:00Z,1591.03,1,needs_review,mea,retail,83.3,unicode café 東京
